question_id,question,canonical_answer,answer_variants,expected_entities,gold_triples,question_type,difficulty,notes
q_circ_011,What is food loss and waste and how is it measured?,"Food loss and waste (FLW) refers to food removed from the human food supply chain: by EU convention, food waste is all edible food products that are lost along the food chain instead of being destined for human consumption; more than 1.3 billion tons per year, about one third of global food production, are lost or wasted. It is measured through the UNEP Food Waste Index (covering households, retail and food service; 931 million tons of food waste in 2019, 61% from households), which supports SDG target 12.3, and the FAO Food Loss Index (methodological proposal for SDG sub-indicator 12.3.1.a) for losses along the supply chain.",[],"[""food loss"", ""food waste"", ""Food Waste Index"", ""Food Loss Index"", ""SDG 12.3"", ""UNEP"", ""FAO""]",[],factoid,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_012,Which indicators are used to measure circularity in food systems?,"The literature review identifies seven circularity measurement indices and eight circularity assessment tools, plus monitoring tools applicable to the food system: examples include the Circle Assessment (online tool for companies), the Circular Transition Indicators (CTI, a quantitative cross-sector framework), and the Italian UNI standards (UNI1608856 'Measuring circularity', UNI1608977 on good circular economy practices, UNI/TS 11820:2022 on circularity measurement in organisations). Most indicators focus on material flows and end-of-life strategies; nutrient circularity indicators compare nutrient inputs in agricultural production with nutrients in organic residues, and a commonly accepted indicator for nutrient circularity in food systems is still elusive.",[],"[""Circular Transition Indicators"", ""Circle Assessment"", ""UNI/TS 11820:2022"", ""circularity indicators"", ""food system"", ""nutrient circularity""]",[],aggregation,hard,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_013,What role does the Ellen MacArthur Foundation play in the circular economy?,"The Ellen MacArthur Foundation is a reference organisation for the circular economy: it published the foundational 'Towards the Circular Economy' reports (2013-2014) setting out the economic and business rationale for the transition, developed the RESOLVE framework (Regenerate, Share, Optimise, Loop, Virtualise, Exchange) identifying six types of actions supporting the circular transition, defined the cyclical modes (short, long, cascade and pure cycles, EMF 2012) and published 'Cities and Circular Economy for Food' (2019) applying circular principles to urban food systems.",[],"[""Ellen MacArthur Foundation"", ""RESOLVE"", ""Towards the Circular Economy"", ""Cities and Circular Economy for Food"", ""circular economy""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_014,How do consumer behaviours affect food waste prevention?,"Consumer behaviours strongly affect food waste prevention: sociodemographic factors and digital engagement jointly influence household prevention (digital activism is shaped by gender, generation and economic status), and more virtuous consumers (higher Food Waste Prevention Index) show more sustainable dietary orientations (flexitarian/vegetarian), greater use of digital prevention tools, and higher awareness of circular economy principles and short food supply chains. Providing circular economy information increases consumers' sensory acceptability, purchase intention and perceived value of upcycled foods, social media can raise awareness and reduce consumer food waste, and in school canteens children's liking of fruit and vegetables is inversely related to plate waste.",[],"[""consumer behaviour"", ""food waste prevention"", ""Food Waste Prevention Index"", ""upcycled foods"", ""digital activism"", ""circular economy""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_015,Which Sustainable Development Goals are related to food systems?,"According to the 'wedding cake' model proposed by Rockström and Sukhdev (2016), food connects all 17 Sustainable Development Goals: acting on the flows of the food system can contribute directly and indirectly to every SDG across the biosphere, society and economy layers. A specifically food-related target is SDG 12.3 on halving food waste and reducing food losses, supported by the Food Waste Index and Food Loss Index.",[],"[""Sustainable Development Goals"", ""wedding cake"", ""Rockström"", ""Sukhdev"", ""SDG 12.3"", ""Agenda 2030""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_016,Quali organizzazioni collaborano con l'Università di Scienze Gastronomiche di Pollenzo?,"Con l'Università di Scienze Gastronomiche di Pollenzo collaborano tra gli altri: Slow Food Italia e la rete Slow Food Youth Network (Circular City Selfie, In Cibo Civitas); la Città di Torino, Amiat Gruppo Iren, Novamont, Eco dalle Città e Sea nel progetto RePoPP; la Regione Piemonte (con Ires Piemonte ed Environment Park Torino) e il MATTM per la ricerca sulle filiere piemontesi; il Politecnico di Torino, la Lavazza Foundation, ITC, ICO e UNIDO nella piattaforma C4CEC per il caffè circolare in Kenya; il consorzio Ricrea (associazione Amici dell'UNISG); il progetto NODES finanziato dal PNRR (Spoke 7 agroindustria).",[],"[""Università di Scienze Gastronomiche di Pollenzo"", ""Slow Food"", ""Città di Torino"", ""Regione Piemonte"", ""Politecnico di Torino"", ""Lavazza Foundation"", ""C4CEC"", ""NODES""]",[],aggregation,hard,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_017,"Quali progetti riducono lo spreco alimentare nei mercati urbani, e in quali città?","Nei mercati urbani lo spreco alimentare è ridotto da progetti come RePoPP a Torino (mercato di Porta Palazzo e altri mercati cittadini, con Banco Circolare al Mercato Centrale), insieme a iniziative torinesi come Fa Bene e Solidarietà alimentare; a Milano gli hub di quartiere contro lo spreco alimentare (es. Municipio 9); nel Mugello (Firenze/Borgo San Lorenzo) la rete M.A.R.I.S.A. contro lo spreco; a Cesena l'Emporio solidale con le Cucine Popolari; tra le buone pratiche europee, Riga recupera rifiuti e eccedenze direttamente in discarica.",[],"[""RePoPP"", ""Torino"", ""Porta Palazzo"", ""Milano"", ""hub di quartiere"", ""M.A.R.I.S.A."", ""Cesena"", ""mercati urbani""]",[],aggregation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_018,Come si collega la produzione di compost al recupero degli scarti alimentari?,"Gli scarti alimentari, insieme agli scarti verdi, costituiscono il biowaste (rifiuto organico) la cui raccolta sistematica è richiesta dalle politiche europee entro il 2023 (l'Italia ha anticipato al dicembre 2021): il riciclo organico trasforma questa materia tramite compostaggio in compost, restituendo sostanza organica e fertilità ai suoli e chiudendo così il ciclo dei nutrienti. In Italia il settore del riciclo organico è strategico, e la crescita delle bioplastiche compostabili certificate (consorzio Biorepack) conferite nell'umido domestico incide sulle dinamiche degli impianti di compostaggio.",[],"[""compost"", ""biowaste"", ""raccolta differenziata"", ""riciclo organico"", ""scarti alimentari"", ""Biorepack""]",[],relation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_019,What methods are used to valorise coffee by-products in Kenya?,"In Kenya coffee by-products are valorised in four categories: (1) alimentary uses — cascara tea, cascara flour and baked products, and mushroom production; (2) biofertilizer — organic fertilizers that enrich soil health; (3) biofuel — biochar and charcoal briquettes (about 70% of coffee husks are used as solid fuel and processed into briquettes of better quality than wood charcoal); (4) materials — water treatment, packaging and construction applications. Actors include DeKUT, which runs a modern cascara processing workshop within the AICS-funded 'Caffè Corretto' project, and the C4CEC circular economy hub for the coffee sector with partners such as the Lavazza Foundation, ITC, ICO, UNISG, Politecnico di Torino and UNIDO.",[],"[""coffee by-products"", ""cascara"", ""biochar"", ""charcoal briquettes"", ""DeKUT"", ""Kenya"", ""C4CEC""]",[],aggregation,medium,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
q_circ_020,Quali filiere agroalimentari piemontesi analizza il report MATTM?,"Il report MATTM sviluppato con l'Università di Scienze Gastronomiche di Pollenzo analizza cinque filiere alimentari strategiche per l'identità del territorio piemontese: vino, latte e formaggi, riso, acqua minerale e carne.",[],"[""report MATTM"", ""vino"", ""latte e formaggi"", ""riso"", ""acqua minerale"", ""carne"", ""Piemonte""]",[],factoid,easy,SILVER (provisional): risposta redatta da Claude (Fable 5) il 2026-07-15 da evidenze BM25 del corpus circular (run_full_circular_20260707 + run_fix2docs_20260710). Non validata da esperto; non usare per numeri finali del paper.
