question_id,question,canonical_answer,answer_variants,expected_entities,gold_triples,question_type,difficulty,notes
q_011,How much higher is the increase in the food import bill during periods of high geopolitical risk compared to normal periods?,"During periods of high geopolitical risk, the increase in the food import bill is almost twice as large as during normal periods.",[],"[""food import bill"", ""FOOD"", ""high"", ""import"", ""risk"", ""geopolitical risk""]","[{""subject"": ""geopolitical risk"", ""predicate"": ""AFFECTS"", ""object"": ""food import bill""}]",multi_hop,,cd8997en.pdf
q_012,"According to the document, what percentage of the EU's GHG emissions is attributed to agriculture?",Agriculture is responsible for 10.3% of the EU’s GHG emissions.,[],"[""EU’s GHG emissions"", ""Agriculture"", ""10.3% of the EU’s GHG emissions"", ""The EU""]","[{""subject"": ""Agriculture"", ""predicate"": ""AFFECTS"", ""object"": ""10.3% of the EU’s GHG emissions""}]",aggregation,,f2f_action-plan_2020_strategy-info_en.pdf
q_013,"Which sector had a higher concentration ratio in the EU food industry in 2012, the food processing industry or the retail sector?","In 2012, the retail sector had a higher concentration ratio than the food processing industry in the EU food industry.",[],"[""higher"", ""retail sector"", ""retail"", ""FOOD"", ""food industry"", ""The EU"", ""processing"", ""industry""]",[],comparative,,factsheet-food-supply-chain_march2017_en_0.pdf
q_014,"What is the sum of the maximum levels for PFOS, PFOA, PFNA, and PFHxS for meat of bovine animals, pig, and poultry?","The sum of the maximum levels for PFOS, PFOA, PFNA, and PFHxS for meat of bovine animals, pig, and poultry is 1.3 μg/kg.",[],"[""meat"", ""maximum levels"", ""poultry"", ""1.3 μg/kg""]",[],aggregation,,CELEX_32023R0915_EN_TXT.pdf
q_015,"According to the context, what is one of the key areas identified for improving health, production, and reducing antimicrobial use in tilapia farming in Egypt?","Training farmers and other stakeholders on tilapia welfare in Egypt was identified as one of the key areas for improving health, production, and reducing antimicrobial use.",[],"[""training farmers and other stakeholders"", ""improving health, production, and reducing antimicrobial use"", ""Egypt"", ""training"", ""farmers"", ""production"", ""Health"", ""welfare""]","[{""subject"": ""training farmers and other stakeholders"", ""predicate"": ""CONTRIBUTES_TO"", ""object"": ""improving health, production, and reducing antimicrobial use""}]",multi_hop,,cd8768en.pdf
q_016,How many countries were reported in the last Animal Antimicrobial Use Global Database (ANIMUSE) to still use antimicrobials for growth promotion?,"According to the last Animal Antimicrobial Use Global Database (ANIMUSE), 34 countries still use antimicrobials for growth promotion.",[],"[""Global"", ""34 countries"", ""countries""]",[],aggregation,,cd8768en.pdf
q_017,What percentage of the total number of farms in the EU-28 were smaller than 5 hectares in 2010?,"In 2010, 70% of all farms in the EU-28 were smaller than 5 hectares.",[],"[""2010"", ""EU-28"", ""The EU""]",[],aggregation,,factsheet-food-supply-chain_march2017_en_0.pdf
q_018,"According to the document, what is the prevalence of moderate or severe food insecurity in peri-urban and rural areas compared to other areas?",The prevalence of moderate or severe food insecurity tends to be higher in peri-urban and rural areas around the world compared to other areas.,[],"[""prevalence"", ""higher"", ""MODERATE OR SEVERE FOOD INSECURITY"", ""prevalence of moderate or severe food insecurity"", ""urban and rural areas"", ""urban"", ""peri-urban"", ""rural"", ""FOOD"", ""FOOD INSECURITY"", ""severe food insecurity"", ""rural areas"", ""world"", ""peri-urban and rural areas""]","[{""subject"": ""prevalence of moderate or severe food insecurity"", ""predicate"": ""MEASURES"", ""object"": ""FOOD INSECURITY""}, {""subject"": ""FOOD"", ""predicate"": ""LOCATED_IN"", ""object"": ""world""}, {""subject"": ""FOOD INSECURITY"", ""predicate"": ""LOCATED_IN"", ""object"": ""rural areas""}, {""subject"": ""world"", ""predicate"": ""LOCATED_IN"", ""object"": ""world""}, {""subject"": ""world"", ""predicate"": ""LOCATED_IN"", ""object"": ""world""}]",comparative,,cc3017en.pdf
q_019,"Which organization established the Committee on the Food Chain and Animal Health to replace the Standing Veterinary Committee, the Standing Committee for Foodstuffs, and the Standing Committee for Feedingstuffs?","The European Commission established the Committee on the Food Chain and Animal Health to replace the Standing Veterinary Committee, the Standing Committee for Foodstuffs, and the Standing Committee for Feedingstuffs.",[],"[""Commission"", ""FOOD"", ""European Commission"", ""food chain"", ""Committee"", ""Health"", ""animal health"", ""EUROPEAN COMMISSION""]","[{""subject"": ""Commission"", ""predicate"": ""WORKED_WITH"", ""object"": ""Committee""}, {""subject"": ""Commission"", ""predicate"": ""WORKED_WITH"", ""object"": ""Committee""}, {""subject"": ""Committee"", ""predicate"": ""HAS_MEMBER"", ""object"": ""Commission""}]",cross_doc,,"CELEX_32002R0178_EN_TXT.pdf, factsheet-food-supply-chain_march2017_en_0.pdf"
q_020,"According to the guidelines developed by the FAO, which international body's definitions and principles of organic production were adopted for the production, processing, labeling, and marketing of organically produced foods?","The International Federation of Organic Agriculture Movement (IFOAM) definitions and principles of organic production were adopted by the FAO for the production, processing, labeling, and marketing of organically produced foods.",[],"[""International Federation of Organic Agriculture Movement"", ""Agriculture"", ""organic agriculture"", ""organic production"", ""production"", ""IFOAM"", ""processing"", ""marketing"", ""foods""]","[{""subject"": ""IFOAM"", ""predicate"": ""DEFINED_AS"", ""object"": ""International Federation of Organic Agriculture Movement""}]",cross_doc,,"cd8167en.pdf, cd8990en.pdf"
q_021,What type of immunoassays are commercially available for OA-group toxins and are used extensively in some regions by FBOs for risk-management purposes?,Commercially available immunoassays for OA-group toxins include both ELISA and LFA options. LFAs are used extensively in some regions by Food Business Operators (FBOs) for risk-management purposes.,[],"[""Immunoassays"", ""FOOD"", ""Food business operators"", ""REGIONS"", ""some regions"", ""business"", ""operators"", ""food business"", ""risk"", ""ELISA"", ""FBOs"", ""LFAs""]","[{""subject"": ""FBOs"", ""predicate"": ""USES"", ""object"": ""ELISA""}]",cross_doc,,"cd8990en.pdf, cd8997en.pdf"
q_022,"What is the maximum level of PFOS in meat of bovine animals, pig, and poultry according to the regulations set by the European Union?","The maximum level of PFOS in meat of bovine animals, pig, and poultry according to the regulations set by the European Union is 0.30 μg/kg.",[],"[""European Union"", ""meat"", ""poultry"", ""0.30 μg/kg""]",[],cross_doc,,"CELEX_32023R0915_EN_TXT.pdf, cd8167en.pdf"
q_023,"What is the primary purpose of the IPEA, as described in the document, and how does it relate to the One Health approach?","The IPEA aims to provide rigorous, policy-relevant evidence to address AMR through a One Health lens. Integrating animal welfare into its assessments aligns with the One Health approach, which considers the interconnectedness of humans, animals, and the environment.",[],"[""IPEA"", ""environment"", ""Health"", ""animal welfare"", ""welfare"", ""lens"", ""Policy"", ""the One Health approach""]","[{""subject"": ""IPEA"", ""predicate"": ""HAS_COMPONENT"", ""object"": ""animal welfare""}]",cross_doc,,"cd8768en.pdf, cd8997en.pdf"
